file.name,database,uri,sub.database,pathway.id,pathway.name,macromolecule.ID.type,simple.chemical.ID.type
http___identifiers.org_panther.pathway_P02722.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02722,panther.pathway,P02722,Acetate utilization,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02723.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02723,panther.pathway,P02723,Adenine and hypoxanthine salvage pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02724.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02724,panther.pathway,P02724,Alanine biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02725.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02725,panther.pathway,P02725,Allantoin degradation,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02726.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02726,panther.pathway,P02726,Aminobutyrate degradation,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02727.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02727,panther.pathway,P02727,Androgen/estrogene/progesterone biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02728.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02728,panther.pathway,P02728,Arginine biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02729.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02729,panther.pathway,P02729,Ascorbate degradation,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02730.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02730,panther.pathway,P02730,Asparagine and aspartate biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02732.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02732,panther.pathway,P02732,Coenzyme A linked carnitine metabolism,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02733.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02733,panther.pathway,P02733,Carnitine metabolism,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02736.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02736,panther.pathway,P02736,Coenzyme A biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02737.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02737,panther.pathway,P02737,Cysteine biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02738.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02738,panther.pathway,P02738,De novo purine biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02739.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02739,panther.pathway,P02739,De novo pyrimidine deoxyribonucleotide biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02740.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02740,panther.pathway,P02740,De novo pyrimidine ribonucleotides biosythesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02741.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02741,panther.pathway,P02741,Flavin biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02742.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02742,panther.pathway,P02742,Tetrahydrofolate biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02743.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02743,panther.pathway,P02743,Formyltetrahydroformate biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02744.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02744,panther.pathway,P02744,Fructose galactose metabolism,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02745.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02745,panther.pathway,P02745,Glutamine glutamate conversion,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02746.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02746,panther.pathway,P02746,Heme biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02748.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02748,panther.pathway,P02748,Isoleucine biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02749.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02749,panther.pathway,P02749,Leucine biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02750.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02750,panther.pathway,P02750,Lipoate_biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02752.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02752,panther.pathway,P02752,Mannose metabolism,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02753.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02753,panther.pathway,P02753,Methionine biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02754.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02754,panther.pathway,P02754,Methylcitrate cycle,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02755.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02755,panther.pathway,P02755,Methylmalonyl pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02756.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02756,panther.pathway,P02756,N-acetylglucosamine metabolism,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02757.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02757,panther.pathway,P02757,O-antigen biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02758.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02758,panther.pathway,P02758,Ornithine degradation,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02759.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02759,panther.pathway,P02759,Pyridoxal-5-phosphate biosynthesis,pathwayCommons,pathwayCommons
